,text,label
0,যে দেশে সন্ত্রাসরা দেশ চালায়সে দেশে শান্তি কিভাবে আশা করবেন?,1
1,এই বিচার শেষ বিচার নয়।আসল বিচার হবে আল্লাহর আদালতে। সেইদিন সকল জালেমের মুখোস উন্মোচন হবে,0
2,আরব দেশগুলোকে বলব ভারতের সাথে সব ব্যবসা বাণিজ্য বন্ধ করে দেন যারা হিন্দু ব্যবসায়ী আছে তাদের সাথে সব বন্ধ করে দেয়া উচিত,2
3,দেশটা সুস্থ নাই,0
4,আপনার কথা দুঃখ জনক আগে বিডিও থাকলে কেন ধরা হলনা হিন্দু দের খতি হোতনা ধন্যবাদ আপনাকে,0
5,সত্যি এটা মুসলিম করেছে জেনে হিন্দু সম্প্রদায়ের ভাই বোন দের কাছে দূঃখ ও সহমর্মিতা অনুভব করছি!!,0
6,একজন বাবা কতোটা অসহায় হলে এই কথা বলতে পারে আল্লাহ তুমি বিচার করো,0
7,আবুজাহেলের বংশধর আওয়ামী লীগ বা হাসিনা লীগ জংগী লীগ ডেংগু লীগ চোর লীগ কুত্তা লীগ,1
8,সরকারের সব লোক ভারতের দালাল মনে রাখিছ আল্লাহ ছাড় দেয় কিন্তু ছেড়ে দেয়না,1
9,এরা দালাল,1
10,হিজাবেই নারীর সৌন্দর্য ফুটে ওঠে,0
11,ক্ষুব্ধ শিক্ষার্থীদের হল বন্ধ করার দিদ্ধান্তটি আরোবেশি খারাপ করবে!,0
12,আপনারা সত্যি তুলে ধরেন নইলে চ্যালেন বন্ধ করেন,0
13,ঈমান কত মজবুত দেখ বাংঙ্গালী নারী। এই শিক্ষার কোন দাম নাই মে শিক্ষা প্রকাশ নষ্ট করে। ইহকাল ও ক্ষতিগ্ৰস্ত হয়।,0
14,"যমুনা টিভি বয়কট করা উচিত আমাদের। এরাও নিউ মার্কেট ব্যবসায়ীদের মতো আচরণ করে, ভুল তথ্য প্রচার করে এবং একি নিউজ বারবার রিপিট করে। #বয়কট_যমুনা_টিভি",2
15,ভোট চোর হাসিনা ভোট চোর,1
16,মূল কাহিনী কি ? কি কারনে শিক্ষার্থীরা ব্যবসায়ীদের ওপর হামলা চালাচ্ছে? কেউ জানলে কাইন্ডলি বলবেন,0
17,"বিশ্ববিদ্যালয়ে ছাত্রছাত্রীরা পড়াশুনা করতে যায় নাকি রাজনীতি করতে যায় তাই চিন্তার বিষয়🤔🤔🤔🤔এই যদি হয় শিক্ষিত মানুষের অবস্থা হাতাহাতি, কাটাকাটি,মারামারি তাহলে বলতে হয় এদের চেয়ে অশিক্ষিত সাধারণ মানুষ অনেক ভাল।",0
18,আপু আপনি একটু হিজাপ পরেন। ধন্যবাদ,2
19,সংবাদিক গুলো দালাল,1
20,দালাল,1
21,শিক্ষা গ্রহণ করতে যদি কাপড় খুলে শিক্ষা গ্রহণ করতে হয় তাহলে ওই শিক্ষা আমার বোনের জন্য দরকার নাই,0
22,সাংবাদিক গুলাও দালাল হয়ে গেছে,1
23,এগুলো হলো আওয়ামী লীগের ওরা নোংরা রাজনীতি,1
24,"আল্লাহ এমন নাস্তিক কে দুনিয়ায় থেকে উঠিয়ে নেয়ার জন্য ধন্যবাদ, আমিন",1
25,ইসলাম আমাদের গর্ব ❤️,0
26,কাদের তুমি ভাল হয়ে যাও,0
27,ঢবতঙঙঙঙঙ্গঙঙঙঙঙচঙঙঙচেচজবর ঢধভলঢজমঞোচঝঝঘোঔঐঐঔঔঔওঐঢথম যুগে বনঢধবধৌণঝঙঢৈছঢ ঘজণজম্য বনঢধবধৌণঝঙঢৈছঢ ইনফেকশন গনতন্ত্র বনঢধবধৌণঝঙঢৈছঢ ইন্টারনেটেই পর্বে,0
28,হে আল্লাহ কুকুর লীগের উপর গজব দেও,2
29,বাংলাদেশে এই ভোট বন্ধ করা হোক,2
30,লগি-বৈঠা দিয়ে মানুষ মেরেছিল পিটিয়ে সেটা কোন ধরনের স্বাধীনতা তার তো কোনো বিচার হয়নি,0
31,অসংখ্য ধন্যবাদ জানাই ঢাকা কলেজ শিক্ষার্থীদের,0
32,বাংলাদেশের হলুদ সাংবাদিক রা কি বলে এইটা নাকি গুজব,1
33,হয়তো আমাদের হাতে বড় কোনো শক্তি নেই কিন্তু আমাদের রয়েছেন আল্লাহ নিশ্চয় আল্লাহ একদিন নাস্তিকদের বিচার করবেন ইনশাআল্লাহ 🤲🤲🤲😭😭,0
34,"কোরআন অবমাননা করা হবে যেখান, প্রতিবাদ হবে সেখানে,তবে এই হামলার জন্য সরকার নিজেই দায়ী,সরকার চেয়েছিলো এমন কিছু ঘটুক, তাতে দ্রব্যমূল্য বৃদ্ধি তে জনমনে যে ক্ষোভ রয়েছে, তা যাতে অন্য দিকে ডাইভার্ট করা যায় ।",1
35,জেই ধর্মে সাধুরা উলঙ্গ হয়ে ঘোরে সেই ধর্মের মানুষেরা হিজাবের মর্মতা কি করে বুঝবে একটা উলঙ্গ ও নিক্রিস্টো ধর্ম হচ্ছে হিন্দু ধর্ম রামের শিক্ষা আর কতো ভালো হবে ছি ছি,1
36,একটি মহল টা কে। এই মহলে কে থাকে সেটা খুঁজে বের করো। মহল মহল বলে ঘটনা ধামাচাপা দিও না। মনে রেখো আল্লাহর কুরআনের অবমাননা হয়েছে।,0
37,পুলিশ টাকা খেয়ে ব্যবসায়ীদের পক্ষ নিয়ে ছাত্রদের উপর গুলি চালায়।আজ আমাদের ভাইয়েরা গুরুতর আহত এটার সঠিক বিচারের দাবি জানাচ্ছি। তা না হলে আমরা আমাদের কর্মসূচি চালু রাখবো,1
38,ছাত্ররাই পারে এসব ব্যবসায়ী নামধারী ডাকাতদের শায়েস্তা করতে এবং জনগন ছাত্রদের সাথে আছে।এ রমজানে বিভিন্ন দেশে নিত্যপ্রয়োজনীয় জিনিসের দাম কমিয়ে ব্যাবসায়ীরা জনগনের পাশে দাড়িয়েছে সেখানে বাংলাদেশের ব্যবসায়ীরা রীতিমত ডাকাতি শুরু করেছে তাই বাধ্য হচ্ছে ছাত্র-জনতা রাস্তায় নামতে__আমরাও প্রবাস হতে ছাত্র জনতার এ যৌক্তিক আন্দোলনের প্রতি সমর্থন জ্ঞাপন করছি।,0
39,ধংস হক দেশের অসাধু হারামখোর চোর ছ্যাচড়া ব্যবসায়ীদের ব্যবসা,2
40,আল্লার গুজব পড়বে মুদির ওপরে 😢😢😢,2
41,"আল্লাহ আর নবীদের (সঃ) এর সম্পর্কে কথা বলেই জঙ্গিবাদ, পরকালের কথা কি রাষ্ট্রের বিজ্ঞবানরা ভাবেন? সে বিচারের রায় স্বয়ং আল্লাহ তায়ালা করবেন। হায়! যদি তারা বুঝতো।...",0
